Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
1996-01-01,5.674153804779053,5.68380601694498,5.616240531783489,5.653470756081134,104121369
1996-01-02,5.630029678344727,5.687943695110073,5.588663207536571,5.660366047904636,168743308
1996-01-03,5.672774791717529,5.983026025738501,5.660364963349093,5.722414473511946,209323879
1996-01-04,5.620377540588379,5.636924350126652,5.544538457272231,5.618998916034083,216900264
1996-01-05,5.581768989562988,5.598315799999218,5.533507919524943,5.598315799999218,166708467
1996-01-08,5.358387470245361,5.5748742569357495,5.303231805126192,5.570738014828702,186974245
1996-01-09,5.203950881958008,5.294957777110211,5.026073701738569,5.199814640193766,388766555
1996-01-10,5.070197105407715,5.224633228801187,5.046756440856471,5.101912093976804,276606655
1996-01-11,5.228771209716797,5.25359160653866,5.012284443841623,5.019179039438887,409645726
1996-01-12,5.173615455627441,5.307368176860371,5.1391428465899995,5.267379965109767,374687924
1996-01-15,5.119839191436768,5.184647072664642,5.090882549077227,5.158448047916156,199981539
1996-01-16,5.129491329193115,5.1570689781761905,5.08536650150697,5.101913311889274,217247573
1996-01-17,4.925414085388184,5.108807613640781,4.88266898975431,5.101913017632282,299629901
1996-01-18,4.78890323638916,4.878531508753322,4.737884553283147,4.7999351790127465,377502810
1996-01-19,4.704790115356445,4.782008543773162,4.673075864086131,4.722715914033351,324535340
1996-01-22,4.78476619720459,4.846816444273289,4.715820987145139,4.719958333260263,338613971
1996-01-23,4.582070827484131,4.8219983232339265,4.329732761770934,4.801314899376833,354919302
1996-01-24,4.424875259399414,4.569659573032685,4.357309762019622,4.542081555913858,351185727
1996-01-25,4.2387261390686035,4.434528831457365,4.212527106862029,4.415224397722271,360855771
1996-01-26,4.2387261390686035,4.2387261390686035,4.2387261390686035,4.2387261390686035,0
1996-01-29,4.572416305541992,4.6124048862462,4.193220915015147,4.2194191995956905,652902286
1996-01-30,4.983327388763428,5.2122239655957765,4.646877118535863,4.71582122714199,1061936020
1996-01-31,4.874395370483398,5.122596405392702,4.750294484708005,4.936445629210724,731560842
1996-02-01,5.070197105407715,5.101912093976804,4.812344270533874,4.82613272341311,640422958
1996-02-02,5.620377540588379,5.681049175562045,5.205329782539514,5.205329782539514,818725675
1996-02-05,6.087822914123535,6.210544431625005,5.7513726172569095,5.92924979433102,1222482548
1996-02-06,5.577630519866943,6.342917995983883,5.449393417824034,6.233984948475639,1242315590
1996-02-07,5.681048393249512,5.73620404912776,5.213602653526417,5.268758309404665,895441820
1996-02-08,6.1774516105651855,6.278111092193644,5.68104916678746,5.738962447600844,821653997
1996-02-09,6.535964012145996,6.673852979468121,6.180208914775028,6.398074308182416,994440377
1996-02-12,6.126431465148926,6.480807545797566,6.039560817553497,6.370496232057251,971599188
1996-02-13,6.494598388671875,6.7331472454342345,6.014742689025547,6.067140373807318,1019034918
1996-02-14,6.498733043670654,6.755207274287505,6.449093725457421,6.660064142750021,622459505
1996-02-15,6.3953166007995605,6.549752734046502,6.287762536287673,6.342918561247795,699136437
1996-02-16,6.2822465896606445,6.349812812577133,6.233985528035586,6.287762560498597,495646793
1996-02-19,6.345676422119141,6.486324115173988,6.308446562080739,6.398074466725226,518231701
1996-02-20,6.010604381561279,6.36911745232831,5.929249702085168,6.342918799887456,639131752
1996-02-21,6.010604381561279,6.010604381561279,6.010604381561279,6.010604381561279,0
1996-02-22,6.3277506828308105,6.370496512152984,6.096096471806016,6.149873506651378,613558303
1996-02-23,6.260184288024902,6.32912802344958,6.155387482392788,6.315339571021177,546094871
1996-02-26,6.2739739418029785,6.460124715002819,6.233986096149283,6.329129235360469,544960514
1996-02-27,6.202271461486816,6.342919154121132,6.096096748075646,6.3098247994103245,542491536
1996-02-28,6.232606887817383,6.392558264901734,6.218817696584045,6.322235525871907,427826248
1996-02-29,5.842379093170166,6.199512392052277,5.80514887143075,6.177450352183565,697898447
1996-03-01,5.875472068786621,5.96234271043029,5.751371941411402,5.887882634005159,723172202
1996-03-04,5.814802169799805,5.929250104952609,5.747235940010596,5.9016720895611705,673407539
1996-03-05,5.814802169799805,5.814802169799805,5.814802169799805,5.814802169799805,0
1996-03-06,6.021636009216309,6.061624223701095,5.863063249092143,5.915461294289526,543855566
1996-03-07,6.075413227081299,6.211924323802083,6.046456584485308,6.10574959929601,854410306
1996-03-08,6.043697834014893,6.067138498879905,5.9223553218617715,5.99819402363679,646827174
1996-03-11,6.063002586364746,6.080928018304461,5.933386479696358,5.956827145832368,631091821
1996-03-12,6.374633312225342,6.56354207879662,6.025773156518647,6.053351172742383,803011329
1996-03-13,6.265700340270996,6.294658454810756,6.129189986505427,6.205029808572257,577715422
1996-03-14,6.264321804046631,6.326372062527253,6.218817986504249,6.260185562132811,597611484
1996-03-15,6.058865547180176,6.25053226066201,6.011982744947815,6.231227837380927,622444100
1996-03-18,5.783086776733398,6.0119833678829515,5.761024734263622,5.996815920865383,667319823
1996-03-19,5.427332401275635,5.868579171533959,5.308747488305023,5.763782713692906,1037292464
1996-03-20,5.427332401275635,5.427332401275635,5.427332401275635,5.427332401275635,0
1996-03-21,5.81618070602417,5.876851602322714,5.653471338486883,5.653471338486883,670459612
1996-03-22,5.580390930175781,5.7072490863949,5.47421546037519,5.7072490863949,674824785
1996-03-25,5.547295093536377,5.683805787681172,5.467319045740682,5.652091535409803,457166882
1996-03-26,5.511444091796875,5.625892750190291,5.336324543287769,5.515581069861744,532380354
1996-03-27,5.707248210906982,5.789981890456233,5.682428180706357,5.708627203785003,377229724
1996-03-28,5.78170919418335,5.810665837323419,5.703111749498519,5.722416178258565,359409115
1996-03-29,5.704489707946777,5.812043783210311,5.686564274283348,5.774813554720683,325958187
1996-04-01,5.758265972137451,5.777571132691348,5.6810482764873695,5.7293093362686704,247509698
1996-04-02,5.773435115814209,5.84651658230099,5.715521834435929,5.7706774983622315,367425238
1996-04-03,5.821695804595947,5.9678594646947225,5.807907349913035,5.903050854783373,297032084
1996-04-04,5.752751350402832,5.772055775133906,5.692079722458349,5.763782187162943,241840713
1996-04-05,5.752751350402832,5.752751350402832,5.752751350402832,5.752751350402832,0
1996-04-08,5.849274158477783,5.879610160159971,5.788603260075647,5.825833121178759,228109392
1996-04-09,5.856167793273926,5.989920872333613,5.825832164891955,5.9223553889596605,320184170
1996-04-10,5.853410720825195,5.9554488200243485,5.829969316872528,5.929249798835279,285103129
1996-04-11,5.792738914489746,5.83272749393146,5.7596460353732395,5.798254885436776,216484333
1996-04-12,5.951312065124512,5.998194132345574,5.76653957163542,5.792738590565242,341108156
1996-04-15,6.104369640350342,6.225712156120026,6.054728850588757,6.067138679708459,476612002
1996-04-16,6.11815881729126,6.198134508810925,6.067139397141618,6.122295795807715,388937409
1996-04-17,6.378769397735596,6.446334883461825,6.228469506601991,6.2877625094213005,410008440
1996-04-18,6.72900915145874,6.763481021927788,6.526311223481661,6.5773302694859295,686239778
1996-04-19,6.771755218505859,6.908265937322662,6.7165991864986925,6.784166154429155,657928468
1996-04-22,6.556646347045898,6.853108388086681,6.522174479234551,6.839319935618676,577856867
1996-04-23,6.512523174285889,6.584225641679847,6.4118633320677985,6.495975997723322,570256675
1996-04-24,7.040640830993652,7.1178592803755425,6.789681054662893,6.814501454696028,534899747
1996-04-25,6.682126522064209,7.239200537956403,6.563541251411116,7.087521652006536,620220200
1996-04-26,6.741418838500977,6.824152509028848,6.508385273638717,6.67385261469446,632532875
1996-04-29,6.6862640380859375,6.708325713417105,6.556647551907065,6.6738531026296775,421084526
1996-04-30,6.746933937072754,6.894475826875539,6.632485658530592,6.673851751804722,429361131
1996-05-01,7.33710241317749,7.443277496993102,7.2874623534200245,7.363301804237102,495470338
1996-05-02,7.342616558074951,7.379847149847841,7.1702549990477085,7.280566308428179,506967956
1996-05-03,7.1757707595825195,7.321933663801183,7.142677146744856,7.279187102658017,493527926
1996-05-06,6.773134231567383,7.04339768424553,6.737283363137026,7.004788830046222,591063023
1996-05-07,6.855868339538574,6.9068866541186456,6.737283059868146,6.763481713569383,548608662
1996-05-08,6.893097400665283,6.990999249941441,6.646274656801595,6.729009060071297,785659868
1996-05-09,6.7248735427856445,6.905508361284232,6.687642942731254,6.76348239916068,609397594
1996-05-10,6.6545491218566895,6.691779720793768,6.523554370720308,6.563542218857471,606288615
1996-05-13,6.795195579528809,6.836562413014274,6.704188693189061,6.742797541337794,398370778
1996-05-14,6.984105587005615,7.0296094067801445,6.749693733460458,6.784166346521209,651015892
1996-05-15,6.999272346496582,7.059944345767704,6.730388643013826,6.873793579527874,917242481
1996-05-16,7.039259910583496,7.184043818969328,6.992377845919756,7.080626004909539,688543503
1996-05-17,6.8999924659729,6.977210907977226,6.861383613291472,6.894477231293326,565289312
1996-05-20,6.683506011962891,6.822774710456389,6.662822592943957,6.81174350453686,326115037
1996-05-21,6.660064220428467,6.72900943758094,6.604908194034773,6.643517780831069,456241191
1996-05-22,6.695916652679443,6.762103155923918,6.675233232295262,6.729010272622437,319336904
1996-05-23,6.64076042175293,6.679369275549655,6.607666802795097,6.651791628072207,294687746
1996-05-24,7.0055108070373535,7.027128293731987,6.969481405910179,7.0069520754714425,236779521
1996-05-27,6.799422740936279,6.946421314212282,6.787893365590299,6.946421314212282,385864842
1996-05-28,6.5789265632629395,6.658190172887645,6.501102682346741,6.658190172887645,545547298
1996-05-29,6.953628063201904,7.047303569717448,6.7172762396886005,6.7172762396886005,514643772
1996-05-30,6.82680606842041,7.0242459698871835,6.782129060230711,7.004069753226217,528103408
1996-05-31,6.870039463043213,6.932010143988902,6.805187785612217,6.924803803234636,445949352
1996-06-03,7.080450534820557,7.104949782899581,6.960832981096734,7.004068714554947,488962489
1996-06-04,6.979568958282471,7.2476256179314715,6.852746585099424,7.204391417899333,719201952
1996-06-05,6.934891700744629,7.0617148251957245,6.872921791580454,7.0617148251957245,333800656
1996-06-06,7.048745155334473,7.177008795693598,7.004069687381346,7.0314507055674484,331038987
